cotacaoCompra,cotacaoVenda,dataHoraCotacao
5.2194,5.22,2021-08-27 13:11:22.717
5.1946,5.1952,2021-08-30 13:07:25.721
5.1427,5.1433,2021-08-31 13:10:23.684
5.157,5.1576,2021-09-01 13:11:06.324
5.1729,5.1735,2021-09-02 13:11:17.302
5.1679,5.1685,2021-09-03 13:03:21.611
5.1767,5.1773,2021-09-06 13:06:02.111
5.2518,5.2524,2021-09-08 13:09:22.725
5.2819,5.2825,2021-09-09 13:02:42.197
5.2152,5.2158,2021-09-10 13:06:44.542
5.2184,5.219,2021-09-13 13:11:57.689
5.2254,5.226,2021-09-14 13:05:29.154
5.257,5.2576,2021-09-15 13:09:33.824
5.2588,5.2594,2021-09-16 13:07:34.198
5.3097,5.3103,2021-09-17 13:05:44.302
5.3326,5.3332,2021-09-20 13:09:20.651
5.3038,5.3044,2021-09-21 13:05:29.475
5.2777,5.2783,2021-09-22 13:08:29.983
5.2885,5.2891,2021-09-23 13:03:07.356
5.3429,5.3435,2021-09-24 13:03:32.594
5.3472,5.3478,2021-09-27 13:10:20.907
5.42,5.4206,2021-09-28 13:02:28.318
5.4167,5.4173,2021-09-29 13:07:36.017
5.4388,5.4394,2021-09-30 13:08:39.486
5.3905,5.3911,2021-10-01 13:09:55.606
5.4198,5.4204,2021-10-04 13:04:19.644
5.4605,5.4611,2021-10-05 13:03:21.673
5.5091,5.5097,2021-10-06 13:06:37.922
5.5134,5.514,2021-10-07 13:08:32.904
5.5078,5.5084,2021-10-08 13:09:33.086
5.5155,5.5161,2021-10-11 13:11:50.974
5.5464,5.5471,2021-10-13 13:07:53.148
5.4982,5.4988,2021-10-14 13:08:19.087
5.4504,5.451,2021-10-15 13:09:00.092
5.5187,5.5193,2021-10-18 13:10:12.364
5.5515,5.5521,2021-10-19 13:03:26.566
5.5565,5.5571,2021-10-20 13:08:38.286
5.6417,5.6423,2021-10-21 13:09:24.845
5.7111,5.7117,2021-10-22 13:04:31.126
5.5967,5.5973,2021-10-25 13:08:21.969
5.5794,5.58,2021-10-26 13:11:02.479
5.5661,5.5667,2021-10-27 13:11:29.186
5.6118,5.6124,2021-10-28 13:09:22.681
5.6424,5.643,2021-10-29 13:10:37.643
5.6688,5.6694,2021-11-01 13:06:32.202
5.6666,5.6672,2021-11-03 13:11:45.357
5.5936,5.5942,2021-11-04 13:05:50.751
5.5449,5.5455,2021-11-05 13:09:32.052
5.5621,5.5627,2021-11-08 13:11:26.233
5.4951,5.4957,2021-11-09 13:06:40.602
5.4584,5.459,2021-11-10 13:09:36.334
5.4165,5.4171,2021-11-11 13:08:27.923
5.4193,5.4199,2021-11-12 13:10:27.887
5.4766,5.4772,2021-11-16 13:10:00.160
5.4987,5.4993,2021-11-17 13:05:38.588
5.5464,5.547,2021-11-18 13:09:29.964
5.5578,5.5584,2021-11-19 13:10:31.479
5.5835,5.5841,2021-11-22 13:08:59.918
5.645,5.6456,2021-11-23 13:06:27.700
5.6021,5.6027,2021-11-24 13:10:24.939
5.5734,5.574,2021-11-25 13:11:38.492
5.5859,5.5865,2021-11-26 13:07:20.220
5.6112,5.6118,2021-11-29 13:10:42.305
5.6193,5.6199,2021-11-30 13:08:45.864
5.6162,5.6168,2021-12-01 13:08:37.975
5.6339,5.6345,2021-12-02 13:06:24.696
5.6426,5.6432,2021-12-03 13:09:31.634
5.6871,5.6877,2021-12-06 13:03:38.199
5.6405,5.6411,2021-12-07 13:10:09.863
5.5773,5.5779,2021-12-08 13:08:22.113
5.5558,5.5564,2021-12-09 13:06:48.535
5.5925,5.5931,2021-12-10 13:05:20.676
5.6351,5.6357,2021-12-13 13:08:20.616
5.6455,5.6461,2021-12-14 13:02:44.686
5.7121,5.7127,2021-12-15 13:02:22.464
5.6957,5.6963,2021-12-16 13:10:33.547
5.6953,5.6959,2021-12-17 13:04:24.245
5.7049,5.7055,2021-12-20 13:08:24.888
5.7367,5.7372,2021-12-21 13:05:52.535
5.7195,5.7201,2021-12-22 13:11:23.873
5.6904,5.691,2021-12-23 13:11:33.328
5.6541,5.6591,2021-12-24 11:04:02.178
5.6644,5.665,2021-12-27 13:02:39.238
5.6432,5.6438,2021-12-28 13:09:32.360
5.6613,5.6619,2021-12-29 13:09:53.696
5.5799,5.5805,2021-12-30 13:05:01.310
5.5799,5.5805,2021-12-31 10:04:20.895
5.6303,5.6309,2022-01-03 13:11:50.357
5.677,5.6776,2022-01-04 13:08:59.123
5.6622,5.6628,2022-01-05 13:07:53.094
5.7036,5.7042,2022-01-06 13:09:47.715
5.6747,5.6753,2022-01-07 13:02:38.206
5.673,5.6736,2022-01-10 13:09:59.748
5.6345,5.6351,2022-01-11 13:05:48.123
5.5605,5.5611,2022-01-12 13:11:22.447
5.524,5.5246,2022-01-13 13:11:46.392
5.5343,5.5349,2022-01-14 13:11:21.479
5.5052,5.5058,2022-01-17 13:07:26.765
5.5207,5.5213,2022-01-18 13:07:15.815
